
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
5,5,0,23,2,0,0,0,3,0,10,0,7,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
1,1,0,34,1,0,0,0,0,0,23,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,2,0,28,4,0,0,0,0,0,4,0,2,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
9,8,0,16,4,0,0,0,0,0,4,0,2,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
14,0,1,16,0,0,0,0,0,0,7,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,38,1,30,11,0,0,0,0,0,31,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
17,11,0,25,5,0,0,4,0,0,120,0,3,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,12,0,7,4,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,16,0,10,2,0,0,0,0,0,4,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
4,5,0,6,2,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
2,13,0,7,1,0,0,0,0,0,10,0,1,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
1,10,0,7,2,0,0,0,0,0,0,0,1,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
1,14,0,8,1,0,0,0,0,0,0,0,1,
